Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
,,00040.820800,D1_24,5,0.092
,,00040.843040,B1_33,12,0.10568
,,00040.931920,A6_21,7,0.01496
,,00040.929440,A6_22,7,0.01744
,,00041.160960,A3_41,10,0.05544
,,00041.171920,A3_21,18,0.08512
,,00041.163680,A3_31,13,0.08392
,,00041.122880,A3_11,17,0.13152
,,00041.146880,A3_12,30,0.1072
,,00041.128880,A3_13,45,0.13112
,,00041.162160,A3_23,6,0.0196
,,00041.128720,A3_14,46,0.13144
,,00041.163280,A3_33,5,0.05512
,,00041.137280,A3_24,42,0.11904
,,00041.133040,A3_34,19,0.12032
,,00041.156560,A3_32,22,0.1036
,,00041.136640,A3_44,41,0.12176
,,00041.136080,A3_43,44,0.14096
,,00042.578960,D4_34,8,0.0672
,,00042.554480,D4_42,19,0.13504
,,00042.569200,D4_43,30,0.11992
,,00042.533360,D4_32,40,0.16032
,,00042.775040,B5_14,5,0.01944
,,00042.767920,B5_13,8,0.02888
,,00042.770480,B5_21,12,0.03288
,,00042.996480,B3_14,10,0.04464
,,00043.816160,B1_33,5,0.09232
,,00043.959360,B6_11,5,0.01112
,,00044.459920,B4_33,5,0.01016
,,00044.456960,B4_43,5,0.01136
,,00044.596640,B6_44,5,0.01008
,,00045.402720,A6_21,10,0.0232
,,00045.400720,A6_22,9,0.03952
,,00045.266000,D6_44,60,0.22256
,,00046.264400,A2_21,7,0.02448
,,00046.261600,A2_33,7,0.01808
,,00046.200000,A2_34,7,0.09904
,,00046.350880,B6_11,5,0.00936
,,00047.258000,B6_14,21,0.09224
,,00047.258880,B6_12,6,0.05
,,00047.258880,B6_11,14,0.05376
,,00047.257920,B6_33,23,0.11064
,,00047.258000,B6_23,14,0.05744
,,00047.264160,B6_34,17,0.052
,,00047.283520,B6_43,5,0.01344
,,00047.274960,B6_44,25,0.08544
,,00047.463680,A3_41,7,0.10336
,,00047.473040,A3_21,25,0.10048
,,00047.471120,A3_31,19,0.09744
,,00047.421440,A3_11,18,0.15472
,,00047.424160,A3_12,33,0.15232
,,00047.426240,A3_13,51,0.15352
,,00047.445280,A3_23,9,0.12016
,,00047.427040,A3_14,46,0.15056
,,00047.428400,A3_24,51,0.14264
,,00047.432320,A3_34,26,0.1372
,,00047.468400,A3_32,29,0.10312
,,00047.436560,A3_44,51,0.15008
,,00047.435360,A3_43,49,0.1496
,,00047.332800,D5_44,5,0.0876
,,00047.751760,B3_43,5,0.02456
,,00047.789680,D5_44,8,0.10152
,,00048.070400,C2_12,5,0.01168
,,00048.071200,C2_14,13,0.08408
,,00048.635040,C1_23,10,0.07416
,,00048.636400,C1_33,27,0.07408
,,00048.626400,C1_43,31,0.09184
,,00048.828880,A2_21,5,0.0244
,,00048.770000,A5_13,16,0.1052
,,00048.764720,A5_21,12,0.0964
,,00048.731200,D5_44,7,0.10152
,,00048.760880,A5_14,5,0.19032
,,00048.993840,A6_11,5,0.01408
,,00048.993200,A6_21,9,0.03336
,,00048.990960,A6_22,6,0.01424
,,00049.142320,A2_21,8,0.16928
,,00049.203760,B4_24,6,0.0164
,,00049.201440,B4_43,6,0.01304
,,00049.202000,D5_44,6,0.10144
,,00050.187760,D1_21,15,0.08808
,,00050.183040,D1_31,16,0.07792
,,00050.186400,D1_42,11,0.0764
,,00050.105280,A2_32,5,0.07152
,,00050.727040,B1_33,5,0.03512
,,00050.781120,B5_13,6,0.01792
,,00050.790720,B5_21,8,0.02
,,00051.152080,B6_33,5,0.01024
,,00051.147680,B6_44,6,0.01352
,,00051.741120,D1_24,6,0.01408
,,00051.949120,C1_23,8,0.02832
,,00051.937600,C1_33,19,0.06072
,,00051.925440,C1_43,24,0.07208
,,00052.631040,A2_34,6,0.0144
,,00052.614960,A2_33,6,0.03552
,,00052.881680,B2_31,9,0.182
,,00052.883520,B2_22,31,0.20128
,,00053.212400,B4_24,5,0.01128
,,00053.210240,B4_43,5,0.0136
,,00053.444240,B3_14,8,0.04392
,,00053.440880,B6_14,10,0.02704
,,00053.438240,B6_33,10,0.03728
,,00053.440480,B6_23,12,0.03504
,,00053.441600,B6_34,5,0.03304
,,00054.070400,B1_33,8,0.09488
,,00054.835280,A6_11,6,0.01904
,,00054.834720,A6_21,10,0.02256
,,00054.833520,A6_22,9,0.02424
,,00055.018400,C1_33,5,0.01128
,,00055.551680,A3_41,7,0.01768
,,00055.563440,A3_31,12,0.07464
,,00055.512800,A3_11,20,0.13088
,,00055.515120,A3_12,26,0.12808
,,00055.544720,A3_23,7,0.03552
,,00055.517840,A3_14,40,0.12744
,,00055.525440,A3_24,41,0.11712
,,00055.524000,A3_34,19,0.11
,,00055.559680,A3_32,26,0.08
,,00055.526640,A3_44,41,0.1204
,,00055.525280,A3_43,41,0.12136
,,00055.565680,A3_21,21,0.08504
,,00055.518560,A3_13,47,0.13512
,,00056.708960,B1_33,5,0.022
,,00057.013520,B3_21,25,0.09784
,,00057.011600,B3_31,33,0.09944
,,00057.013920,B3_12,16,0.07512
,,00057.008880,B3_23,7,0.02016
